name;description;image
Buzza;Buzza was a male Ewok from Endor. He served as the chief of the tribethat lived in the Bright Tree Village,[1] until he was eventually replaced by his son, Chirpa, who served chief for fourty-two seasons before the Battle of Endor.[2];https://vignette.wikia.nocookie.net/starwars/images/1/18/Buzza.JPG/revision/latest?cb=20181027173642
Chirpa;Chirpa was a male Ewok who served as the chief of the Council of Elders and Ewok tribe that lived in Bright Tree Village on the forest moonof Endor. During the Battle of Endor, he allowed a Rebel strike team, led by General Han Solo, to become part of the tribe. The Ewoks also agreed to help the Rebels on their mission to destroy the generatorpowering the second Death Star's deflector shield.[2] Chirpa was also married to Ra-Lee[4] and had a daughter named Kneesaa.[5];https://vignette.wikia.nocookie.net/starwars/images/4/4e/Chief_Chirpa_DB.jpg/revision/latest?cb=20150825142530
Chukha-Trok;Chukha-Trok, also called Chukha, was an Ewok that lived on the moonEndor, who participated in a hunting expedition with Ra-Lee and Chirpa. Chukha-Trok set a trap that Ra-Lee and Chirpa drove the boar-wolf they were hunting into. After capturing the boar-wolf, the trio of hunters returned home to Bright Tree Village, expecting to be welcomed as heroes because their boar-wolf was the largest that even Chirpa's father, Chief Buzza had ever seen.[;https://vignette.wikia.nocookie.net/starwars/images/a/af/Chukha.jpg/revision/latest?cb=20181029192116
Asha Fahn;Asha Fahn was a female Ewok of the Bright Tree tribe on Endor. Along with Teebo, she was one of Chief Chirpa's best hunters. When Chirpa decided to aid the Rebel Alliance in their fight against the Galactic Empire, Asha and Teebo gave him their support, which allowed him to completely overrule the veto of Logray, the tribe's shaman. The next morning, Asha, Chirpa and Teebo led the Ewoks who were able to join the fight into the forest, while the young and the elderly stayed at the village. When the Ewoks assaulted the Empire's bunker, Asha led the fiercest warriors of the tribe. She and her men leapt from atop the bunker, and the huntress killed an Imperial officer with her knife, leaving him no time to shout a command to his troopers. After the Battle of Endor was won both on ground and in space, Asha was part of the revelries that took place at Bright Tree Village.[1];
Kneesaa;Kneesaa was an Ewok female who resided in Bright Tree Village on the Forest Moon of Endor. She was the daughter of the village chief, Chirpa, and she held the title of princess. In 4 ABY, Kneesaa participated in the Battle of Endor, helping the Rebel Alliance in their fight against the Galactic Empire. Kneesaa's bravery and leadership led to her succeed her father and become the village's first female chief.;https://vignette.wikia.nocookie.net/starwars/images/e/e7/Kneesaa-WotG.jpg/revision/latest/scale-to-width-down/1000?cb=20181029045419
Leektar;Leektar[3] was an Ewok who lived in Bright Tree Village on the planetEndor. After the Ewoks and the Alliance to Restore the Republictriumphed over the Galactic Empire in the Battle of Endor, Leektar was amongst the Ewoks who celebrated the victory.;https://vignette.wikia.nocookie.net/starwars/images/0/0d/Leektar3.png/revision/latest?cb=20130422034551
Logray;"Logray was a male Ewok from the forest moon of Endor who served as the chief shaman of Bright Tree tribe during the Galactic Civil War.[2] At one point during the war, Luke Skywalker, Han Solo, Chewbacca and C-3PO were brought to the tribe. Logray, believing Threepio a god ordered Skywalker, Solo, and Chewbacca to be cooked as a sacrifice to their ""god"". The three were freed after Skywalker used the Force to trick the Ewoks into believing that Threepio was using his ""magic"" in a display of powerful anger.[1] When the Ewoks were debating on helping the Rebels in assaulting the shield generator, Logray was hesitant to get involved, concerned for the safety of the Ewoks and feeling that this conflict was bigger than them. Eventually he was swayed over by the others and was greatly moved by Teebo's messages sent out to the neighboring tribes. Eventually, he and the other Ewoks attacked the Imperial forces stationed on the moon during the battle of Endor. He participated in the celebration that followed the destruction of the second Death Star.";https://vignette.wikia.nocookie.net/starwars/images/3/3b/LograyHS-ROTJ.png/revision/latest?cb=20130422035557
Makrit;Makrit was a male Ewok from Endor. He served as the shaman of the tribe that lived in Bright Tree Village under Chief Buzza, with Logray as his apprentice. At one point, he tried to offer woklings from his own tribe in sacrifice to the Great Devourer, a Gorax who lived near Mount Krana. However, Makrit's treachery was discovered by Chirpa, Ra-Lee, and Logray, who freed the woklings imprisoned in a giant wicker Ewok. Deprived of his offerings, Makrit became the victim of his own designs, as the Devourer ate him instead.;https://vignette.wikia.nocookie.net/starwars/images/9/94/Makrit.jpg/revision/latest?cb=20181029173851
Nippet;Nippet was an Ewok of the Bright Tree tribe on Endor. Nippet was present when the protocol droid C-3PO narrated the adventures of Luke Skywalker in front of the tribe, shortly before the Battle of Endor. At the time, Nippet was still very young, and squeaked when C-3PO evoked the ominous presence of Darth Vader.[1];
Paploo;Paploo was a male Ewok of the Bright Tree tribe on the forest moon of Endor. During the Battle of Endor, Paploo aided the Rebel strike team that was led by Han Solo in destroying the generator powering the Death Star II's deflector shield.;https://vignette.wikia.nocookie.net/starwars/images/d/d5/EwokWarrior-SoH.png/revision/latest/scale-to-width-down/1000?cb=20190428015441
Peekpa;Peekpa was a female Ewok hacker, tech genius and a superfan of the Wookiee Chewbacca after he saved the life of her sister during the Battle of Endor. At some point, Peekpa was in a crew with Chewbacca, Han Solo, and Lando Calrissian.[1];https://vignette.wikia.nocookie.net/starwars/images/0/0d/Peekpa.png/revision/latest?cb=20191020120018
Ra-Lee;Ra-Lee was a female[2] Ewok who lived on the Forest Moon of Endor.[1]Sometime after the year 0 BBY, she was married to Chirpa, chief of the Bright Tree Village.[2];https://vignette.wikia.nocookie.net/starwars/images/1/1a/Ra-Lee_TfVC.jpg/revision/latest?cb=20181029173451
Romba;Romba was a male Ewok from Endor. A hunter, he once slew a boar-wolf, and then fashioned a knife from one of its teeth. One night, upon returning from hunting, Romba found that his village had been burned by the Galactic Empire, whose troops had come to Endor to build a shield generator and a troop base. Since his whole tribe was dead, Romba became a refugee, and he ended up finding shelter in the Bright Tree Village, led by Chief Chirpa. After a few heroes of the Alliance to Restore the Republic befriended Chirpa's tribe, Romba was one of the many Ewoks that took part in the ground operations of the Battle of Endor, during which the Alliance defeated the Galactic Empire. Through their triumph, Romba won justice for his lost village.;https://vignette.wikia.nocookie.net/starwars/images/7/72/Romba_the_Ewok.jpg/revision/latest/scale-to-width-down/1000?cb=20151006224746
